what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299013630125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299013635480
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299013892863
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1299013896491
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1299013896632
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1299013897130
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1299013897240
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299013897583
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299013897941
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299013899335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299013900647
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299013909647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299013916268
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299013916843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299013919593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299013924774
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299013927089
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299014052427
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1299014130929
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299014137427
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299014183621
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299014190008
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299014643974
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299014837535
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299015050391
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1299015051779
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299015060544
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299016301827
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299016338421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299017527947
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299017530131
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299017530945
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299017533424
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299017539010
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299017539760
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299017544365
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1299017546583
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1299017547687
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1299017547711
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1299017547835
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1299017547872
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1299017547872
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1299017547895
stopped,bundle,com.android.ide.eclipse.adt,10.0.0.v201102162101-104271,"com.android.ide.eclipse.adt",1299017547895
